Transaction ID,Customer ID,Treatment Type,Therapist Name,Treatment Date,Duration (min),Price
TXN-501,CUS-101,Deep Tissue Massage,Maria Santos,2024-12-02,90,150.00
TXN-502,CUS-103,Hydrating Facial,James Liu,2024-12-03,60,120.00
TXN-503,CUS-105,Hot Stone Massage,Anna Kowalski,2024-12-04,90,170.00
TXN-504,CUS-102,Swedish Massage,David Chen,2024-12-05,60,110.00
TXN-505,CUS-108,Aromatherapy Wrap,Sophie Laurent,2024-12-06,60,130.00
TXN-506,CUS-104,Anti-Aging Facial,Carlos Mendez,2024-12-07,75,180.00
TXN-507,CUS-110,Reflexology,Yuki Tanaka,2024-12-08,45,85.00
TXN-508,CUS-106,Detox Body Wrap,Maria Santos,2024-12-09,90,160.00
TXN-509,CUS-109,Deep Tissue Massage,James Liu,2024-12-10,120,200.00
TXN-510,CUS-107,Scalp Treatment,Anna Kowalski,2024-12-11,30,65.00
TXN-511,CUS-101,Swedish Massage,David Chen,2024-12-12,60,110.00
TXN-512,CUS-105,Hydrating Facial,Sophie Laurent,2024-12-13,60,120.00
